gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
ABGJKBDI_CDS_0001	180	34	-	GCA_017426985.1_67_149609-215499	-1.6344469045966197	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	ABGJKBDI_CDS_0001
ABGJKBDI_CDS_0002	1496	273	-	GCA_017426985.1_67_149609-215499	-175413873.49350128	216	180.0	0.41	2.8649999999999997e-53	p381219 VI_06799	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	ABGJKBDI_CDS_0002
ABGJKBDI_CDS_0003	1660	1478	-	GCA_017426985.1_67_149609-215499	-3.7322491371404687	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	ABGJKBDI_CDS_0003
ABGJKBDI_CDS_0004	1929	1666	-	GCA_017426985.1_67_149609-215499	-5.493411484302265	16987	211.0	1.0	3.882e-67	p435607 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	ABGJKBDI_CDS_0004
ABGJKBDI_CDS_0005	1906	1995	+	GCA_017426985.1_67_149609-215499	-0.0572641643771326	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	ABGJKBDI_CDS_0005
ABGJKBDI_CDS_0006	2894	2181	-	GCA_017426985.1_67_149609-215499	-491.491193944732	6201	94.0	0.411	9.524000000000001e-26	p89843 VI_01594	PHANOTATE	CDS	#a861e3	CI-like repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	ABGJKBDI_CDS_0006
ABGJKBDI_CDS_0007	2970	3164	+	GCA_017426985.1_67_149609-215499	-5.230782071263884	409	48.0	0.551	7.005e-11	p88852 VI_07592	PHANOTATE	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	ABGJKBDI_CDS_0007
ABGJKBDI_CDS_0008	3195	3452	+	GCA_017426985.1_67_149609-215499	-59.578564644889845	35410	95.0	0.584	4.845e-27	KY658678_p35	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	ABGJKBDI_CDS_0008
ABGJKBDI_CDS_0009	3452	3616	+	GCA_017426985.1_67_149609-215499	-47.04515063698623	24084	141.0	1.0	1.116e-43	p239428 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	ABGJKBDI_CDS_0009
ABGJKBDI_CDS_0010	3624	3800	+	GCA_017426985.1_67_149609-215499	-4.2500132059190365	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	ABGJKBDI_CDS_0010
ABGJKBDI_CDS_0011	3785	4753	+	GCA_017426985.1_67_149609-215499	-1023912.869888676	1032	181.0	0.416	8.294999999999999e-53	p113701 VI_02986	PHANOTATE	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	ABGJKBDI_CDS_0011
ABGJKBDI_CDS_0012	4865	5635	+	GCA_017426985.1_67_149609-215499	-25813.37050300013	17382	554.0	1.0	1.186e-182	p239430 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	ABGJKBDI_CDS_0012
ABGJKBDI_CDS_0013	5749	6594	+	GCA_017426985.1_67_149609-215499	-2327789.933151014	370	253.0	0.503	9.082e-79	p248311 VI_09499	PHANOTATE	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	ABGJKBDI_CDS_0013
ABGJKBDI_CDS_0014	6587	8284	+	GCA_017426985.1_67_149609-215499	-773448536186.3047	38407	505.0	0.714	5.883e-164	p52050 VI_02694	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	ABGJKBDI_CDS_0014
ABGJKBDI_CDS_0015	8281	10368	+	GCA_017426985.1_67_149609-215499	-1050273928454232.6	24564	467.0	1.0	9.273e-154	p435596 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	ABGJKBDI_CDS_0015
ABGJKBDI_CDS_0016	10529	10936	+	GCA_017426985.1_67_149609-215499	-507.5373994773537	811	163.0	0.626	4.315e-49	p6911 VI_09232	PHANOTATE	CDS	#ffdf59	UmuD-like protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	ABGJKBDI_CDS_0016
ABGJKBDI_CDS_0017	10936	12192	+	GCA_017426985.1_67_149609-215499	-4416261.917551817	1268	516.0	0.627	1.3130000000000001e-166	p9287 VI_06867	PHANOTATE	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	ABGJKBDI_CDS_0017
ABGJKBDI_CDS_0018	14217	12376	-	GCA_017426985.1_67_149609-215499	-514914228.5674866	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0018	ABGJKBDI_CDS_0018
ABGJKBDI_CDS_0019	14477	14358	-	GCA_017426985.1_67_149609-215499	-0.1197492981328076	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0019	ABGJKBDI_CDS_0019
ABGJKBDI_CDS_0020	14527	14721	+	GCA_017426985.1_67_149609-215499	-0.1267853570113466	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0020	ABGJKBDI_CDS_0020
ABGJKBDI_CDS_0021	14786	15562	+	GCA_017426985.1_67_149609-215499	-32846.36826962896	27315	364.0	0.703	5.84e-117	p8388 VI_02987	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0021	ABGJKBDI_CDS_0021
