Description	Count	contig
CDS	2	GCA_015343595.1_880|113-1659
connector	0	GCA_015343595.1_880|113-1659
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_880|113-1659
head and packaging	0	GCA_015343595.1_880|113-1659
integration and excision	1	GCA_015343595.1_880|113-1659
lysis	0	GCA_015343595.1_880|113-1659
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_880|113-1659
other	0	GCA_015343595.1_880|113-1659
tail	0	GCA_015343595.1_880|113-1659
transcription regulation	0	GCA_015343595.1_880|113-1659
unknown function	1	GCA_015343595.1_880|113-1659
tRNAs	0	GCA_015343595.1_880|113-1659
CRISPRs	0	GCA_015343595.1_880|113-1659
tmRNAs	0	GCA_015343595.1_880|113-1659
VFDB_Virulence_Factors	0	GCA_015343595.1_880|113-1659
CARD_AMR_Genes	0	GCA_015343595.1_880|113-1659
