seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_006376745.1_999	1	4	2	1911	0.847	0.847	1	4	2	1911	NA	NA	0	1	4	2	1911	0.847	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	GCA_006376745.1_999||full	0.847	ssDNA
GCA_006376745.1_933	1	4	3	2490	0.507	0.507	1	4	3	2490	NA	NA	0	1	4	3	2490	0.507	0.0	25.0	0.0	50.0	0.0	25.0	0	dsDNAphage	linear	GCA_006376745.1_933||full	0.507	dsDNAphage
GCA_006376745.1_926	1	5	368	2471	0.973	0.973	1	5	368	2471	NA	NA	0	1	5	368	2471	0.973	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	GCA_006376745.1_926||full	0.973	ssDNA
GCA_006376745.1_900	1	6	1	2921	0.52	0.52	1	6	1	2921	NA	NA	0	1	6	1	2921	0.52	0.0	0.0	0.0	16.7	0.0	83.3	0	dsDNAphage	linear	GCA_006376745.1_900||full	0.52	dsDNAphage
GCA_006376745.1_82	1	26	1	13616	0.993	0.993	1	26	1	13616	NA	NA	0	1	26	1	13616	0.993	0.0	11.5	0.0	30.8	3.8	53.8	1	dsDNAphage	linear	GCA_006376745.1_82||full	0.993	dsDNAphage
GCA_006376745.1_81	1	16	1	14045	1.0	1.0	1	16	1	14045	NA	NA	0	1	16	1	14045	1.0	0.0	12.5	0.0	75.0	0.0	12.5	8	dsDNAphage	linear	GCA_006376745.1_81||full	1.0	dsDNAphage
GCA_006376745.1_778	1	7	339	5132	0.62	0.62	1	7	339	5132	NA	NA	0	1	7	339	5132	0.62	0.0	0.0	0.0	42.9	0.0	57.1	0	ssDNA	linear	GCA_006376745.1_778||full	0.62	ssDNA
GCA_006376745.1_733	1	2	3	2018	0.927	0.927	1	2	3	2018	NA	NA	0	1	2	3	2018	0.927	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006376745.1_733||full	0.927	ssDNA
GCA_006376745.1_639	1	7	1	4483	1.0	1.0	1	7	1	4483	NA	NA	0	1	7	1	4483	1.0	0.0	0.0	0.0	71.4	0.0	28.6	1	dsDNAphage	linear	GCA_006376745.1_639||full	1.0	dsDNAphage
GCA_006376745.1_638	1	4	184	4239	1.0	1.0	1	4	184	4239	NA	NA	0	1	4	184	4239	1.0	0.0	0.0	0.0	100.0	0.0	0.0	2	dsDNAphage	linear	GCA_006376745.1_638||full	1.0	dsDNAphage
GCA_006376745.1_571	1	5	107	2504	0.747	0.747	1	5	107	2504	NA	NA	0	1	5	107	2504	0.747	0.0	0.0	0.0	20.0	0.0	80.0	0	dsDNAphage	linear	GCA_006376745.1_571||full	0.747	dsDNAphage
GCA_006376745.1_567	1	26	2	12595	0.98	0.987	1	26	2	12595	NA	NA	0	1	26	2	12595	0.987	0.0	3.8	0.0	34.6	3.8	57.7	0	dsDNAphage	linear	GCA_006376745.1_567||full	0.98	dsDNAphage
GCA_006376745.1_552	1	18	2	12837	0.993	0.993	1	18	2	12837	NA	NA	0	1	18	2	12837	0.993	0.0	5.6	0.0	50.0	5.6	38.9	1	dsDNAphage	linear	GCA_006376745.1_552||full	0.993	dsDNAphage
GCA_006376745.1_436	1	32	1	21914	1.0	1.0	1	32	1	21914	NA	NA	0	1	32	1	21914	1.0	0.0	6.2	0.0	75.0	0.0	18.8	14	dsDNAphage	linear	GCA_006376745.1_436||full	1.0	dsDNAphage
GCA_006376745.1_1082	1	2	66	1306	0.993	0.993	1	2	66	1306	NA	NA	0	1	2	66	1306	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006376745.1_1082||full	0.993	ssDNA
GCA_006376745.1_1078	1	3	1	1351	0.9	0.9	1	3	1	1351	NA	NA	0	1	3	1	1351	0.9	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_006376745.1_1078||full	0.9	ssDNA
GCA_006376745.1_1005	1	3	1	1846	0.993	0.993	1	3	1	1846	NA	NA	0	1	3	1	1846	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_006376745.1_1005||full	0.993	ssDNA
