Description	Count	contig
CDS	2	GCA_015343595.1_683|1-1073
connector	0	GCA_015343595.1_683|1-1073
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_683|1-1073
head and packaging	0	GCA_015343595.1_683|1-1073
integration and excision	0	GCA_015343595.1_683|1-1073
lysis	0	GCA_015343595.1_683|1-1073
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_683|1-1073
other	0	GCA_015343595.1_683|1-1073
tail	0	GCA_015343595.1_683|1-1073
transcription regulation	0	GCA_015343595.1_683|1-1073
unknown function	2	GCA_015343595.1_683|1-1073
tRNAs	0	GCA_015343595.1_683|1-1073
CRISPRs	0	GCA_015343595.1_683|1-1073
tmRNAs	0	GCA_015343595.1_683|1-1073
VFDB_Virulence_Factors	0	GCA_015343595.1_683|1-1073
CARD_AMR_Genes	0	GCA_015343595.1_683|1-1073
