Description	Count	contig
CDS	4	GCA_015343595.1_118|3-1029
connector	0	GCA_015343595.1_118|3-1029
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_118|3-1029
head and packaging	0	GCA_015343595.1_118|3-1029
integration and excision	0	GCA_015343595.1_118|3-1029
lysis	0	GCA_015343595.1_118|3-1029
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_118|3-1029
other	0	GCA_015343595.1_118|3-1029
tail	0	GCA_015343595.1_118|3-1029
transcription regulation	0	GCA_015343595.1_118|3-1029
unknown function	4	GCA_015343595.1_118|3-1029
tRNAs	0	GCA_015343595.1_118|3-1029
CRISPRs	0	GCA_015343595.1_118|3-1029
tmRNAs	0	GCA_015343595.1_118|3-1029
VFDB_Virulence_Factors	0	GCA_015343595.1_118|3-1029
CARD_AMR_Genes	0	GCA_015343595.1_118|3-1029
