Description	Count	contig
CDS	7	GCA_015343595.1_1366|2-1261
connector	0	GCA_015343595.1_1366|2-1261
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1366|2-1261
head and packaging	1	GCA_015343595.1_1366|2-1261
integration and excision	0	GCA_015343595.1_1366|2-1261
lysis	0	GCA_015343595.1_1366|2-1261
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1366|2-1261
other	0	GCA_015343595.1_1366|2-1261
tail	0	GCA_015343595.1_1366|2-1261
transcription regulation	0	GCA_015343595.1_1366|2-1261
unknown function	6	GCA_015343595.1_1366|2-1261
tRNAs	0	GCA_015343595.1_1366|2-1261
CRISPRs	0	GCA_015343595.1_1366|2-1261
tmRNAs	0	GCA_015343595.1_1366|2-1261
VFDB_Virulence_Factors	0	GCA_015343595.1_1366|2-1261
CARD_AMR_Genes	0	GCA_015343595.1_1366|2-1261
