Description	Count	contig
CDS	5	GCA_015343595.1_9|1-1358
connector	0	GCA_015343595.1_9|1-1358
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_9|1-1358
head and packaging	0	GCA_015343595.1_9|1-1358
integration and excision	1	GCA_015343595.1_9|1-1358
lysis	0	GCA_015343595.1_9|1-1358
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_9|1-1358
other	0	GCA_015343595.1_9|1-1358
tail	0	GCA_015343595.1_9|1-1358
transcription regulation	0	GCA_015343595.1_9|1-1358
unknown function	4	GCA_015343595.1_9|1-1358
tRNAs	0	GCA_015343595.1_9|1-1358
CRISPRs	0	GCA_015343595.1_9|1-1358
tmRNAs	0	GCA_015343595.1_9|1-1358
VFDB_Virulence_Factors	0	GCA_015343595.1_9|1-1358
CARD_AMR_Genes	0	GCA_015343595.1_9|1-1358
