Description	Count	contig
CDS	4	GCA_015343595.1_1434|2-1643
connector	0	GCA_015343595.1_1434|2-1643
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1434|2-1643
head and packaging	0	GCA_015343595.1_1434|2-1643
integration and excision	0	GCA_015343595.1_1434|2-1643
lysis	0	GCA_015343595.1_1434|2-1643
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1434|2-1643
other	0	GCA_015343595.1_1434|2-1643
tail	0	GCA_015343595.1_1434|2-1643
transcription regulation	0	GCA_015343595.1_1434|2-1643
unknown function	4	GCA_015343595.1_1434|2-1643
tRNAs	0	GCA_015343595.1_1434|2-1643
CRISPRs	0	GCA_015343595.1_1434|2-1643
tmRNAs	0	GCA_015343595.1_1434|2-1643
VFDB_Virulence_Factors	0	GCA_015343595.1_1434|2-1643
CARD_AMR_Genes	0	GCA_015343595.1_1434|2-1643
