Description	Count	contig
CDS	5	GCA_015343595.1_1065|51-2418
connector	0	GCA_015343595.1_1065|51-2418
DNA, RNA and nucleotide metabolism	2	GCA_015343595.1_1065|51-2418
head and packaging	0	GCA_015343595.1_1065|51-2418
integration and excision	0	GCA_015343595.1_1065|51-2418
lysis	0	GCA_015343595.1_1065|51-2418
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1065|51-2418
other	0	GCA_015343595.1_1065|51-2418
tail	0	GCA_015343595.1_1065|51-2418
transcription regulation	0	GCA_015343595.1_1065|51-2418
unknown function	3	GCA_015343595.1_1065|51-2418
tRNAs	0	GCA_015343595.1_1065|51-2418
CRISPRs	0	GCA_015343595.1_1065|51-2418
tmRNAs	0	GCA_015343595.1_1065|51-2418
VFDB_Virulence_Factors	0	GCA_015343595.1_1065|51-2418
CARD_AMR_Genes	0	GCA_015343595.1_1065|51-2418
