Description	Count	contig
CDS	3	GCA_015343595.1_1094|3-1704
connector	0	GCA_015343595.1_1094|3-1704
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_1094|3-1704
head and packaging	0	GCA_015343595.1_1094|3-1704
integration and excision	0	GCA_015343595.1_1094|3-1704
lysis	0	GCA_015343595.1_1094|3-1704
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1094|3-1704
other	1	GCA_015343595.1_1094|3-1704
tail	0	GCA_015343595.1_1094|3-1704
transcription regulation	0	GCA_015343595.1_1094|3-1704
unknown function	1	GCA_015343595.1_1094|3-1704
tRNAs	0	GCA_015343595.1_1094|3-1704
CRISPRs	0	GCA_015343595.1_1094|3-1704
tmRNAs	0	GCA_015343595.1_1094|3-1704
VFDB_Virulence_Factors	0	GCA_015343595.1_1094|3-1704
CARD_AMR_Genes	0	GCA_015343595.1_1094|3-1704
