Description	Count	contig
CDS	4	GCA_015343595.1_803|32-6262
connector	0	GCA_015343595.1_803|32-6262
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_803|32-6262
head and packaging	0	GCA_015343595.1_803|32-6262
integration and excision	1	GCA_015343595.1_803|32-6262
lysis	0	GCA_015343595.1_803|32-6262
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_803|32-6262
other	0	GCA_015343595.1_803|32-6262
tail	0	GCA_015343595.1_803|32-6262
transcription regulation	0	GCA_015343595.1_803|32-6262
unknown function	3	GCA_015343595.1_803|32-6262
tRNAs	0	GCA_015343595.1_803|32-6262
CRISPRs	0	GCA_015343595.1_803|32-6262
tmRNAs	0	GCA_015343595.1_803|32-6262
VFDB_Virulence_Factors	0	GCA_015343595.1_803|32-6262
CARD_AMR_Genes	0	GCA_015343595.1_803|32-6262
