seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_013390705.1_436	1	27	2	19070	0.98	0.98	1	27	2	19070	NA	NA	0	1	27	2	19070	0.98	0.0	29.6	0.0	37.0	11.1	22.2	4	dsDNAphage	linear	GCA_013390705.1_436||full	0.98	dsDNAphage
GCA_013390705.1_364	1	3	1	1285	0.873	0.873	1	3	1	1285	NA	NA	0	1	3	1	1285	0.873	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_013390705.1_364||full	0.873	ssDNA
GCA_013390705.1_353	1	3	1	1443	0.993	0.993	1	3	1	1443	NA	NA	0	1	3	1	1443	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_013390705.1_353||full	0.993	ssDNA
GCA_013390705.1_333	1	2	32	1779	1.0	1.0	1	2	32	1779	NA	NA	0	1	2	32	1779	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_013390705.1_333||full	1.0	ssDNA
GCA_013390705.1_327	1	4	1	1910	0.667	0.667	1	4	1	1910	NA	NA	0	1	4	1	1910	0.667	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	GCA_013390705.1_327||full	0.667	dsDNAphage
GCA_013390705.1_313	1	2	499	2193	0.987	0.987	1	2	499	2193	NA	NA	0	1	2	499	2193	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_013390705.1_313||full	0.987	ssDNA
GCA_013390705.1_296	1	3	3	2598	0.907	0.907	1	3	3	2598	NA	NA	0	1	3	3	2598	0.907	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_013390705.1_296||full	0.907	ssDNA
GCA_013390705.1_275	1	3	2	3096	0.58	0.58	1	3	2	3096	NA	NA	0	1	3	2	3096	0.58	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	GCA_013390705.1_275||full	0.58	dsDNAphage
GCA_013390705.1_264	1	7	2	3110	0.773	0.773	1	7	2	3110	NA	NA	0	1	7	2	3110	0.773	0.0	14.3	0.0	42.9	0.0	42.9	0	dsDNAphage	linear	GCA_013390705.1_264||full	0.773	dsDNAphage
GCA_013390705.1_239	1	6	2	3922	1.0	1.0	1	6	2	3922	NA	NA	0	1	6	2	3922	1.0	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	GCA_013390705.1_239||full	1.0	ssDNA
GCA_013390705.1_103	1	12	3	8241	0.873	0.873	1	12	3	8241	NA	NA	0	1	12	3	8241	0.873	0.0	0.0	0.0	8.3	8.3	83.3	0	dsDNAphage	linear	GCA_013390705.1_103||full	0.873	dsDNAphage
