gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
CVOVQNBE_CDS_0001	1332	1	-	GCA_013114135.1_48|99174-106032	-2442547174.8582206	1041	216.0	0.417	2.6390000000000002e-64	p437592 VI_03139	PHANOTATE	CDS	#ff59f5	CTXphi Zot-like toxin	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	CVOVQNBE_CDS_0001
CVOVQNBE_CDS_0002	1709	1329	-	GCA_013114135.1_48|99174-106032	-66.56804864870296	1242	63.0	0.344	3.392e-16	p296981 VI_03025	PHANOTATE	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	CVOVQNBE_CDS_0002
CVOVQNBE_CDS_0003	3285	1735	-	GCA_013114135.1_48|99174-106032	-54133581970.93696	1698	49.0	0.209	1.268e-09	p419409 VI_03277	PHANOTATE	CDS	#3e83f6	minor head protein; receptor binding	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	CVOVQNBE_CDS_0003
CVOVQNBE_CDS_0004	3469	3275	-	GCA_013114135.1_48|99174-106032	-0.0929149374313117	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	CVOVQNBE_CDS_0004
CVOVQNBE_CDS_0005	3629	3432	-	GCA_013114135.1_48|99174-106032	-14.298650290222572	2374	39.0	0.341	1.003e-08	p438421 VI_01048	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	CVOVQNBE_CDS_0005
CVOVQNBE_CDS_0006	3855	3634	-	GCA_013114135.1_48|99174-106032	-83.19471997615751	2924	34.0	0.318	1.369e-06	p441921 VI_08397	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	CVOVQNBE_CDS_0006
CVOVQNBE_CDS_0007	4122	3877	-	GCA_013114135.1_48|99174-106032	-433.5359150109856	31384	76.0	0.513	1.98e-21	p438790 VI_03605	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	CVOVQNBE_CDS_0007
CVOVQNBE_CDS_0008	4505	4125	-	GCA_013114135.1_48|99174-106032	-74.96258747616642	1410	163.0	0.696	5.876e-51	p438987 VI_07698	PHANOTATE	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	CVOVQNBE_CDS_0008
CVOVQNBE_CDS_0009	5681	4521	-	GCA_013114135.1_48|99174-106032	-2962551.816529244	16222	215.0	0.613	1.421e-67	p441732 VI_02990	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	CVOVQNBE_CDS_0009
CVOVQNBE_CDS_0010	5892	5671	-	GCA_013114135.1_48|99174-106032	-99.23414782525744	2419	109.0	0.743	5.121e-33	p439431 VI_09332	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	CVOVQNBE_CDS_0010
CVOVQNBE_CDS_0011	6257	5895	-	GCA_013114135.1_48|99174-106032	-905.856410445096	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	CVOVQNBE_CDS_0011
CVOVQNBE_CDS_0012	6404	6309	-	GCA_013114135.1_48|99174-106032	-1.3417249163603349	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	CVOVQNBE_CDS_0012
CVOVQNBE_CDS_0013	6482	6859	+	GCA_013114135.1_48|99174-106032	-1006.018987876621	638	154.0	0.638	2.1719999999999998e-47	p438490 VI_02648	PHANOTATE	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	CVOVQNBE_CDS_0013
