Description	Count	contig
CDS	13	GCA_013114135.1_48|99174-106032
connector	0	GCA_013114135.1_48|99174-106032
DNA, RNA and nucleotide metabolism	1	GCA_013114135.1_48|99174-106032
head and packaging	2	GCA_013114135.1_48|99174-106032
integration and excision	0	GCA_013114135.1_48|99174-106032
lysis	0	GCA_013114135.1_48|99174-106032
moron, auxiliary metabolic gene and host takeover	1	GCA_013114135.1_48|99174-106032
other	0	GCA_013114135.1_48|99174-106032
tail	0	GCA_013114135.1_48|99174-106032
transcription regulation	1	GCA_013114135.1_48|99174-106032
unknown function	8	GCA_013114135.1_48|99174-106032
tRNAs	0	GCA_013114135.1_48|99174-106032
CRISPRs	0	GCA_013114135.1_48|99174-106032
tmRNAs	0	GCA_013114135.1_48|99174-106032
VFDB_Virulence_Factors	0	GCA_013114135.1_48|99174-106032
CARD_AMR_Genes	0	GCA_013114135.1_48|99174-106032
