gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
CTPYSLQX_CDS_0001	1	606	+	GCA_000174235.1_4_679590-760459	-1555.057405817512	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	CTPYSLQX_CDS_0001
CTPYSLQX_CDS_0002	669	764	+	GCA_000174235.1_4_679590-760459	-0.1341045053142642	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	CTPYSLQX_CDS_0002
CTPYSLQX_CDS_0003	950	1063	+	GCA_000174235.1_4_679590-760459	-0.0777453048610758	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	CTPYSLQX_CDS_0003
CTPYSLQX_CDS_0004	1113	2057	+	GCA_000174235.1_4_679590-760459	-2504191.857641244	2825	194.0	0.395	5.374000000000001e-56	p215496 VI_08349	PHANOTATE	CDS	#ffdf59	polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	CTPYSLQX_CDS_0004
CTPYSLQX_CDS_0005	2050	3675	+	GCA_000174235.1_4_679590-760459	-13851019554790.168	8323	116.0	0.228	7.672e-30	p432674 VI_06044	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	CTPYSLQX_CDS_0005
CTPYSLQX_CDS_0006	3662	4435	+	GCA_000174235.1_4_679590-760459	-451.0318422765607	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	CTPYSLQX_CDS_0006
CTPYSLQX_CDS_0007	4518	4649	+	GCA_000174235.1_4_679590-760459	-0.6037073801360165	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	CTPYSLQX_CDS_0007
CTPYSLQX_CDS_0008	4797	4937	+	GCA_000174235.1_4_679590-760459	-0.3997952981473599	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	CTPYSLQX_CDS_0008
CTPYSLQX_CDS_0009	5064	5462	+	GCA_000174235.1_4_679590-760459	-80.79590941855376	17382	164.0	0.948	2.3869999999999997e-47	p239430 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	CTPYSLQX_CDS_0009
CTPYSLQX_CDS_0010	5576	6421	+	GCA_000174235.1_4_679590-760459	-202440.66738184367	370	256.0	0.507	1.193e-79	p248311 VI_09499	PHANOTATE	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	CTPYSLQX_CDS_0010
CTPYSLQX_CDS_0011	6414	8111	+	GCA_000174235.1_4_679590-760459	-26548177051.071327	38407	502.0	0.71	8.675e-163	p52050 VI_02694	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	CTPYSLQX_CDS_0011
CTPYSLQX_CDS_0012	8108	10195	+	GCA_000174235.1_4_679590-760459	-112264421661987.6	24564	470.0	1.0	1.21e-154	p435596 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	CTPYSLQX_CDS_0012
CTPYSLQX_CDS_0013	10266	10367	+	GCA_000174235.1_4_679590-760459	-7.14607746475536	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	CTPYSLQX_CDS_0013
CTPYSLQX_CDS_0014	10490	10702	+	GCA_000174235.1_4_679590-760459	-12.930521079739584	729	117.0	0.8	5.674e-35	p93651 VI_03852	PHANOTATE	CDS	#838383	cold shock protein	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	CTPYSLQX_CDS_0014
CTPYSLQX_CDS_0015	10897	11046	+	GCA_000174235.1_4_679590-760459	-156.3212842961132	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	CTPYSLQX_CDS_0015
CTPYSLQX_CDS_0016	11180	12544	+	GCA_000174235.1_4_679590-760459	-74990.30374336071	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	CTPYSLQX_CDS_0016
CTPYSLQX_CDS_0017	12678	12767	+	GCA_000174235.1_4_679590-760459	-1.5237208756994385	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	CTPYSLQX_CDS_0017
CTPYSLQX_CDS_0018	12834	13961	+	GCA_000174235.1_4_679590-760459	-157697.0746865053	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0018	CTPYSLQX_CDS_0018
CTPYSLQX_CDS_0019	13975	14181	+	GCA_000174235.1_4_679590-760459	-14.073746849965495	24564	40.0	0.633	1.472e-06	p435596 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0019	CTPYSLQX_CDS_0019
CTPYSLQX_CDS_0020	14188	14370	+	GCA_000174235.1_4_679590-760459	-30.153959155957097	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0020	CTPYSLQX_CDS_0020
CTPYSLQX_CDS_0021	14487	14855	+	GCA_000174235.1_4_679590-760459	-518.6858382503553	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0021	CTPYSLQX_CDS_0021
CTPYSLQX_CDS_0022	14900	15964	+	GCA_000174235.1_4_679590-760459	-3078373.056555993	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0022	CTPYSLQX_CDS_0022
CTPYSLQX_CDS_0023	15957	16049	+	GCA_000174235.1_4_679590-760459	-1.1608906761888091	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0023	CTPYSLQX_CDS_0023
CTPYSLQX_CDS_0024	16589	16119	-	GCA_000174235.1_4_679590-760459	-269.98516193060067	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0024	CTPYSLQX_CDS_0024
CTPYSLQX_CDS_0025	16778	16873	+	GCA_000174235.1_4_679590-760459	-0.2098316561529312	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0025	CTPYSLQX_CDS_0025
CTPYSLQX_CDS_0026	16968	17189	+	GCA_000174235.1_4_679590-760459	-21.71156003252463	38046	48.0	1.0	4.733e-11	p185311 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0026	CTPYSLQX_CDS_0026
CTPYSLQX_CDS_0027	17388	17786	+	GCA_000174235.1_4_679590-760459	-16.86117544053551	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0027	CTPYSLQX_CDS_0027
CTPYSLQX_CDS_0028	17965	18396	+	GCA_000174235.1_4_679590-760459	-2.7990954763190765	38046	139.0	1.0	8.786e-43	p185311 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0028	CTPYSLQX_CDS_0028
CTPYSLQX_CDS_0029	18414	18983	+	GCA_000174235.1_4_679590-760459	-1479.63489393975	315	139.0	0.479	1.593e-40	NC_021802_p101	PHANOTATE	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0029	CTPYSLQX_CDS_0029
CTPYSLQX_CDS_0030	18993	19151	+	GCA_000174235.1_4_679590-760459	-12.73339776095698	4712	59.0	0.649	3.209e-15	NC_013651_p44	PHANOTATE	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0030	CTPYSLQX_CDS_0030
CTPYSLQX_CDS_0031	19193	19414	+	GCA_000174235.1_4_679590-760459	-16.153971466903197	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0031	CTPYSLQX_CDS_0031
CTPYSLQX_CDS_0032	19427	19648	+	GCA_000174235.1_4_679590-760459	-38.94790843863972	25098	176.0	1.0	2.788e-55	p185315 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0032	CTPYSLQX_CDS_0032
CTPYSLQX_CDS_0033	19651	20229	+	GCA_000174235.1_4_679590-760459	-1476.0246903949412	6609	312.0	0.772	9.631e-100	p231837 VI_06592	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0033	CTPYSLQX_CDS_0033
CTPYSLQX_CDS_0034	20241	20510	+	GCA_000174235.1_4_679590-760459	-25.99097505314728	6699	114.0	0.643	2.182e-33	p231838 VI_06592	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0034	CTPYSLQX_CDS_0034
CTPYSLQX_CDS_0035	20619	21623	+	GCA_000174235.1_4_679590-760459	-658622.7026248922	10452	240.0	0.734	3.384e-75	p214738 VI_11622	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0035	CTPYSLQX_CDS_0035
CTPYSLQX_CDS_0036	21686	22030	+	GCA_000174235.1_4_679590-760459	-75.1652679499757	13784	245.0	1.0	3.907e-77	p305272 VI_07126	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0036	CTPYSLQX_CDS_0036
CTPYSLQX_CDS_0037	22027	22890	+	GCA_000174235.1_4_679590-760459	-185263.96284074825	334	378.0	0.665	5.7e-119	p44041 VI_02700	PHANOTATE	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0037	CTPYSLQX_CDS_0037
CTPYSLQX_CDS_0038	22905	23285	+	GCA_000174235.1_4_679590-760459	-198.0328305313741	486	154.0	0.61	2.0270000000000003e-46	p44040 VI_02700	PHANOTATE	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0038	CTPYSLQX_CDS_0038
CTPYSLQX_CDS_0039	23343	23807	+	GCA_000174235.1_4_679590-760459	-3938.775434507456	482	263.0	0.823	9.731e-84	p422493 VI_01998	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0039	CTPYSLQX_CDS_0039
CTPYSLQX_CDS_0040	23810	24409	+	GCA_000174235.1_4_679590-760459	-10697.338128402384	437	151.0	0.448	2.621e-44	MF042361_p17	PHANOTATE	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0040	CTPYSLQX_CDS_0040
CTPYSLQX_CDS_0041	24409	25038	+	GCA_000174235.1_4_679590-760459	-17169.806086869896	399	175.0	0.45	3.512e-52	p26986 VI_03058	PHANOTATE	CDS	#3e83f6	structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0041	CTPYSLQX_CDS_0041
CTPYSLQX_CDS_0042	25038	27557	+	GCA_000174235.1_4_679590-760459	-8564530823092.25	36330	2050.0	1.0	0.0	p185244 VI_11784	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0042	CTPYSLQX_CDS_0042
CTPYSLQX_CDS_0043	27629	29236	+	GCA_000174235.1_4_679590-760459	-176507690.47723252	511	221.0	0.319	3.9320000000000003e-63	p395194 VI_01310	PHANOTATE	CDS	#3e83f6	internal virion protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0043	CTPYSLQX_CDS_0043
