seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_003072005.1_170	1	3	1	1054	0.98	0.98	1	3	1	1054	NA	NA	0	1	3	1	1054	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_003072005.1_170||full	0.98	ssDNA
GCA_003072005.1_164	1	3	2	1126	0.993	0.993	1	3	2	1126	NA	NA	0	1	3	2	1126	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_003072005.1_164||full	0.993	ssDNA
GCA_003072005.1_159	1	4	2	1216	0.88	0.88	1	4	2	1216	NA	NA	0	1	4	2	1216	0.88	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	GCA_003072005.1_159||full	0.88	ssDNA
GCA_003072005.1_156	1	3	170	1341	0.993	0.993	1	3	170	1341	NA	NA	0	1	3	170	1341	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_003072005.1_156||full	0.993	ssDNA
GCA_003072005.1_149	1	5	2	1535	1.0	1.0	1	5	2	1535	NA	NA	0	1	5	2	1535	0.993	0.0	0.0	0.0	60.0	0.0	40.0	2	dsDNAphage	linear	GCA_003072005.1_149||full	1.0	dsDNAphage
GCA_003072005.1_148	1	5	3	1538	1.0	1.0	1	5	3	1538	NA	NA	0	1	5	3	1538	1.0	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	GCA_003072005.1_148||full	1.0	ssDNA
GCA_003072005.1_143	1	4	300	1706	1.0	1.0	1	4	300	1706	NA	NA	0	1	4	300	1706	1.0	0.0	0.0	0.0	75.0	0.0	25.0	1	dsDNAphage	linear	GCA_003072005.1_143||full	1.0	dsDNAphage
GCA_003072005.1_141	1	3	606	1779	0.987	0.987	1	3	606	1779	NA	NA	0	1	3	606	1779	0.987	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_003072005.1_141||full	0.987	ssDNA
GCA_003072005.1_132	1	5	3	2121	0.98	0.98	1	5	3	2121	NA	NA	0	1	5	3	2121	0.98	0.0	20.0	0.0	40.0	0.0	40.0	2	dsDNAphage	linear	GCA_003072005.1_132||full	0.98	dsDNAphage
GCA_003072005.1_127	1	7	3	2232	0.973	0.973	1	7	3	2232	NA	NA	0	1	7	3	2232	0.973	0.0	0.0	0.0	14.3	0.0	85.7	0	dsDNAphage	linear	GCA_003072005.1_127||full	0.973	dsDNAphage
GCA_003072005.1_124	1	4	302	2210	0.907	0.907	1	4	302	2210	NA	NA	0	1	4	302	2210	0.907	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	GCA_003072005.1_124||full	0.907	ssDNA
GCA_003072005.1_117	1	4	3	2883	1.0	1.0	1	4	3	2883	NA	NA	0	1	4	3	2883	1.0	0.0	0.0	0.0	75.0	0.0	25.0	0	ssDNA	linear	GCA_003072005.1_117||full	1.0	ssDNA
GCA_003072005.1_296	60	77	65135	77655	0.9	0.9	60	77	65135	77655	0.9	0.993	1	1	101	553	106943	0.193	0.0	43.3	0.0	30.0	13.3	13.3	1	dsDNAphage	linear	GCA_003072005.1_296||0_partial	0.9	dsDNAphage
