seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_000491255.1_664	1	3	2	1112	0.993	0.993	1	3	2	1112	NA	NA	0	1	3	2	1112	0.993	0.0	33.3	0.0	66.7	0.0	0.0	1	dsDNAphage	linear	GCA_000491255.1_664||full	0.993	dsDNAphage
GCA_000491255.1_617	1	3	28	1180	0.913	0.913	1	3	28	1180	NA	NA	0	1	3	28	1180	0.913	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_000491255.1_617||full	0.913	ssDNA
GCA_000491255.1_610	1	2	46	1300	0.973	0.973	1	2	46	1300	NA	NA	0	1	2	46	1300	0.973	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_000491255.1_610||full	0.973	ssDNA
GCA_000491255.1_581	1	2	58	1792	0.82	0.82	1	2	58	1792	NA	NA	0	1	2	58	1792	0.82	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_000491255.1_581||full	0.82	ssDNA
GCA_000491255.1_56	1	26	5	18495	0.973	0.973	1	26	5	18495	NA	NA	0	1	26	5	18495	0.973	0.0	3.8	0.0	11.5	3.8	80.8	1	dsDNAphage	linear	GCA_000491255.1_56||full	0.973	dsDNAphage
GCA_000491255.1_558	1	2	1	1927	0.887	0.887	1	2	1	1927	NA	NA	0	1	2	1	1927	0.887	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_000491255.1_558||full	0.887	ssDNA
GCA_000491255.1_514	1	2	3	2253	0.907	0.907	1	2	3	2253	NA	NA	0	1	2	3	2253	0.907	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_000491255.1_514||full	0.907	ssDNA
GCA_000491255.1_492	1	2	1108	2776	0.98	0.98	1	2	1108	2776	NA	NA	0	1	2	1108	2776	0.98	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_000491255.1_492||full	0.98	ssDNA
GCA_000491255.1_488	1	5	3	2778	0.987	0.987	1	5	3	2778	NA	NA	0	1	5	3	2778	0.987	0.0	0.0	0.0	40.0	0.0	60.0	1	dsDNAphage	linear	GCA_000491255.1_488||full	0.987	dsDNAphage
GCA_000491255.1_482	1	3	227	2987	0.86	0.86	1	3	227	2987	NA	NA	0	1	3	227	2987	0.86	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_000491255.1_482||full	0.86	ssDNA
GCA_000491255.1_472	1	4	1	2981	1.0	1.0	1	4	1	2981	NA	NA	0	1	4	1	2981	1.0	0.0	0.0	0.0	75.0	0.0	25.0	2	dsDNAphage	linear	GCA_000491255.1_472||full	1.0	dsDNAphage
