Description	Count	contig
CDS	5	GCA_015343595.1_1089|1-2622
connector	0	GCA_015343595.1_1089|1-2622
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1089|1-2622
head and packaging	3	GCA_015343595.1_1089|1-2622
integration and excision	0	GCA_015343595.1_1089|1-2622
lysis	0	GCA_015343595.1_1089|1-2622
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1089|1-2622
other	0	GCA_015343595.1_1089|1-2622
tail	0	GCA_015343595.1_1089|1-2622
transcription regulation	0	GCA_015343595.1_1089|1-2622
unknown function	2	GCA_015343595.1_1089|1-2622
tRNAs	0	GCA_015343595.1_1089|1-2622
CRISPRs	0	GCA_015343595.1_1089|1-2622
tmRNAs	0	GCA_015343595.1_1089|1-2622
VFDB_Virulence_Factors	0	GCA_015343595.1_1089|1-2622
CARD_AMR_Genes	0	GCA_015343595.1_1089|1-2622
